GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021801174,517,1628960,Grayson Allen,1610612762,Utah Jazz,4,9,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,4,1,1,20190403,PHX,UTA
Shot Chart Detail,0021801174,540,1628960,Grayson Allen,1610612762,Utah Jazz,4,7,15,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,2,50,1,1,20190403,PHX,UTA
Shot Chart Detail,0021801188,109,1628960,Grayson Allen,1610612762,Utah Jazz,1,5,39,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-47,34,1,1,20190405,UTA,SAC
Shot Chart Detail,0021801188,128,1628960,Grayson Allen,1610612762,Utah Jazz,1,3,55,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-36,15,1,1,20190405,UTA,SAC
Shot Chart Detail,0021801188,141,1628960,Grayson Allen,1610612762,Utah Jazz,1,3,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,13,251,1,1,20190405,UTA,SAC
Shot Chart Detail,0021801188,157,1628960,Grayson Allen,1610612762,Utah Jazz,1,1,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,79,254,1,1,20190405,UTA,SAC
Shot Chart Detail,0021801188,173,1628960,Grayson Allen,1610612762,Utah Jazz,1,0,38,Made Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,226,79,1,1,20190405,UTA,SAC
Shot Chart Detail,0021801188,184,1628960,Grayson Allen,1610612762,Utah Jazz,2,11,32,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,78,2,1,1,20190405,UTA,SAC
Shot Chart Detail,0021801188,187,1628960,Grayson Allen,1610612762,Utah Jazz,2,11,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,10,1,1,20190405,UTA,SAC
Shot Chart Detail,0021801188,219,1628960,Grayson Allen,1610612762,Utah Jazz,2,8,50,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,36,65,1,1,20190405,UTA,SAC
Shot Chart Detail,0021801188,487,1628960,Grayson Allen,1610612762,Utah Jazz,3,0,58,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,7,171,1,1,20190405,UTA,SAC
Shot Chart Detail,0021801188,659,1628960,Grayson Allen,1610612762,Utah Jazz,4,2,32,Made Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,26,1,1,20190405,UTA,SAC
Shot Chart Detail,0021801208,109,1628960,Grayson Allen,1610612762,Utah Jazz,1,2,24,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,8,1,1,20190407,LAL,UTA
Shot Chart Detail,0021801208,123,1628960,Grayson Allen,1610612762,Utah Jazz,1,1,44,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,16,1,1,20190407,LAL,UTA
Shot Chart Detail,0021801229,7,1628960,Grayson Allen,1610612762,Utah Jazz,1,11,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,15,1,1,20190410,LAC,UTA
Shot Chart Detail,0021801229,139,1628960,Grayson Allen,1610612762,Utah Jazz,1,2,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,123,114,1,1,20190410,LAC,UTA
Shot Chart Detail,0021801229,232,1628960,Grayson Allen,1610612762,Utah Jazz,2,7,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-86,100,1,1,20190410,LAC,UTA
Shot Chart Detail,0021801229,249,1628960,Grayson Allen,1610612762,Utah Jazz,2,7,14,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,27,1,1,20190410,LAC,UTA
Shot Chart Detail,0021801229,274,1628960,Grayson Allen,1610612762,Utah Jazz,2,5,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,186,199,1,1,20190410,LAC,UTA
Shot Chart Detail,0021801229,382,1628960,Grayson Allen,1610612762,Utah Jazz,3,10,52,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-153,228,1,1,20190410,LAC,UTA
Shot Chart Detail,0021801229,426,1628960,Grayson Allen,1610612762,Utah Jazz,3,7,10,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-77,144,1,1,20190410,LAC,UTA
Shot Chart Detail,0021801229,604,1628960,Grayson Allen,1610612762,Utah Jazz,4,8,1,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-83,142,1,1,20190410,LAC,UTA
Shot Chart Detail,0021801229,638,1628960,Grayson Allen,1610612762,Utah Jazz,4,5,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-166,211,1,1,20190410,LAC,UTA
Shot Chart Detail,0021801229,663,1628960,Grayson Allen,1610612762,Utah Jazz,4,4,7,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-23,20,1,1,20190410,LAC,UTA
Shot Chart Detail,0021801229,793,1628960,Grayson Allen,1610612762,Utah Jazz,5,0,18,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,222,69,1,1,20190410,LAC,UTA
